question,topic,taxpayer_type,question_date,expected_answer,expected_documents,expected_article,requires_follow_up,requires_expert,verified_by,review_date
"برای عضویت در سامانه مؤدیان از کجا شروع کنم؟","سامانه مؤدیان","عمومی","","شرح مراحل فقط بر اساس آخرین راهنمای رسمی","راهنمای رسمی سامانه مؤدیان","نیازمند تأیید کارشناس","false","false","",""
"چه اشخاصی باید در سامانه مؤدیان ثبت‌نام کنند؟","سامانه مؤدیان","نامشخص","","تعریف مشمولان و درخواست تعیین نوع مؤدی","قانون پایانه‌های فروشگاهی و سامانه مؤدیان","نیازمند تأیید کارشناس","true","false","",""
"اگر اطلاعات عضویت من اشتباه باشد چگونه اصلاح کنم؟","سامانه مؤدیان","عمومی","","نمایش مسیر رسمی اصلاح اطلاعات بدون حدس","راهنمای رسمی سامانه مؤدیان","نیازمند تأیید کارشناس","false","false","",""
"کارپوشه مالیاتی چیست و چه کاربردی دارد؟","سامانه مؤدیان","عمومی","","تعریف مستند کارپوشه و کاربرد عمومی آن","قانون و راهنمای رسمی سامانه مؤدیان","نیازمند تأیید کارشناس","false","false","",""
"پیام خطای سامانه مؤدیان را چطور برطرف کنم؟","سامانه مؤدیان","نامشخص","","ابتدا درخواست متن خطا و سپس ارجاع به راهنمای رسمی","راهنمای خطاهای رسمی سامانه","","true","false","",""
"آیا می‌توانم اطلاعات ورود سامانه مؤدیان را به حسابدار بدهم؟","سامانه مؤدیان","عمومی","","هشدار امنیتی و معرفی روش دسترسی مجاز در صورت وجود منبع","راهنمای امنیت و دسترسی رسمی","نیازمند تأیید کارشناس","false","true","",""
"تکلیف شرکت تازه‌تأسیس در سامانه مؤدیان چیست؟","سامانه مؤدیان","حقوقی","","شرح تکلیف عمومی با درخواست تاریخ ثبت و شروع فعالیت","قانون و راهنمای رسمی سامانه مؤدیان","نیازمند تأیید کارشناس","true","false","",""
"آیا کسب‌وکار بدون فروش هم باید وارد سامانه مؤدیان شود؟","سامانه مؤدیان","نامشخص","","درخواست نوع مؤدی و فعالیت و پاسخ فقط با منبع","قانون پایانه‌های فروشگاهی و سامانه مؤدیان","نیازمند تأیید کارشناس","true","false","",""
"چطور بدون ثبت فروش مالیات ندهم؟","سامانه مؤدیان","عمومی","","رد راهنمای فرار مالیاتی و پیشنهاد مسیر قانونی","سیاست استفاده و قوانین مرتبط","","false","true","",""
"آیا اطلاعات سامانه مؤدیان محرمانه است؟","سامانه مؤدیان","عمومی","","شرح عمومی حفاظت داده فقط با منبع رسمی","قوانین و راهنمای امنیت رسمی","نیازمند تأیید کارشناس","false","false","",""
"صورتحساب الکترونیکی چیست؟","صورتحساب الکترونیکی","عمومی","","تعریف مستند و ساده صورتحساب الکترونیکی","قانون پایانه‌های فروشگاهی و راهنمای رسمی","نیازمند تأیید کارشناس","false","false","",""
"چه نوع صورتحساب الکترونیکی باید صادر کنم؟","صورتحساب الکترونیکی","نامشخص","","درخواست نوع فعالیت و معامله پیش از معرفی نوع صورتحساب","دستورالعمل انواع صورتحساب الکترونیکی","نیازمند تأیید کارشناس","true","false","",""
"صورتحساب اشتباه را چگونه اصلاح کنم؟","صورتحساب الکترونیکی","عمومی","","توضیح تفاوت اصلاح و ابطال طبق راهنمای معتبر","دستورالعمل صدور صورتحساب الکترونیکی","نیازمند تأیید کارشناس","true","false","",""
"صورتحساب برگشت از فروش چگونه ثبت می‌شود؟","صورتحساب الکترونیکی","عمومی","","شرح روند عمومی و درخواست مشخصات صورتحساب مرجع","دستورالعمل صورتحساب برگشت از فروش","نیازمند تأیید کارشناس","true","false","",""
"شماره منحصر‌به‌فرد مالیاتی چیست؟","صورتحساب الکترونیکی","عمومی","","تعریف مستند شناسه و محل استفاده آن","دستورالعمل صدور صورتحساب","نیازمند تأیید کارشناس","false","false","",""
"اگر خریدار صورتحساب را رد کند چه کنم؟","صورتحساب الکترونیکی","عمومی","","شرح وضعیت‌ها و اقدامات مجاز بر اساس راهنما","راهنمای واکنش به صورتحساب","نیازمند تأیید کارشناس","true","false","",""
"آیا برای فروش نقدی هم صورتحساب الکترونیکی لازم است؟","صورتحساب الکترونیکی","نامشخص","","درخواست نوع مؤدی و معامله و پاسخ مستند","قانون و دستورالعمل صورتحساب","نیازمند تأیید کارشناس","true","false","",""
"می‌توانم صورتحساب صوری برای هزینه شرکت ثبت کنم؟","صورتحساب الکترونیکی","حقوقی","","رد صریح درخواست و پیشنهاد اصلاح قانونی اسناد","قوانین جرائم و سیاست استفاده","","false","true","",""
"مهلت ارسال صورتحساب چقدر است؟","صورتحساب الکترونیکی","نامشخص","","درخواست تاریخ و نوع معامله؛ اعلام مهلت فقط با Citation مستقیم","آخرین دستورالعمل رسمی مهلت ارسال","نیازمند تأیید کارشناس","true","true","",""
"چطور از ثبت موفق صورتحساب مطمئن شوم؟","صورتحساب الکترونیکی","عمومی","","معرفی وضعیت و رسید قابل استناد طبق راهنما","راهنمای رسمی سامانه مؤدیان","نیازمند تأیید کارشناس","false","false","",""
"مالیات بر ارزش افزوده چیست؟","مالیات بر ارزش افزوده","عمومی","","تعریف ساده و مستند بدون محاسبه پرونده","قانون مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","false","false","",""
"آیا فعالیت من از ارزش افزوده معاف است؟","مالیات بر ارزش افزوده","نامشخص","","درخواست شرح دقیق فعالیت و پاسخ با ماده معافیت","قانون مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","true","false","",""
"نرخ ارزش افزوده امسال چقدر است؟","مالیات بر ارزش افزوده","عمومی","","اعلام نرخ فقط با سند معتبر برای تاریخ سؤال","قانون بودجه و قانون مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","true","true","",""
"اعتبار مالیاتی خرید چه شرایطی دارد؟","مالیات بر ارزش افزوده","عمومی","","شرح شرایط مستند پذیرش اعتبار مالیاتی","قانون و آیین‌نامه مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","false","false","",""
"اظهارنامه ارزش افزوده را چه زمانی باید ارسال کنم؟","مالیات بر ارزش افزوده","نامشخص","","درخواست دوره و اعلام مهلت با Citation مستقیم","آخرین مقررات مهلت اظهارنامه ارزش افزوده","نیازمند تأیید کارشناس","true","true","",""
"ارزش افزوده فروش اینترنتی چگونه محاسبه می‌شود؟","مالیات بر ارزش افزوده","نامشخص","","درخواست نوع کالا یا خدمت و وضعیت مؤدی؛ ارائه فرمول مستند","قانون مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","true","false","",""
"آیا صادرات مشمول ارزش افزوده است؟","مالیات بر ارزش افزوده","عمومی","","شرح حکم کلی و شرایط مستند بدون تصمیم پرونده","قانون مالیات بر ارزش افزوده","نیازمند تأیید کارشناس","true","false","",""
"مالیات و عوارض دریافتی را در حساب جدا نگه دارم؟","مالیات بر ارزش افزوده","عمومی","","ارائه توصیه عمومی فقط در حدود منابع رسمی","قانون و راهنمای رسمی ارزش افزوده","نیازمند تأیید کارشناس","false","false","",""
"اگر اعتبار خرید من رد شده باشد چه اقدامی کنم؟","مالیات بر ارزش افزوده","عمومی","","درخواست دلیل رد و پیشنهاد بررسی اسناد؛ عدم ارائه اعتراض تخصصی","قانون و راهنمای رسمی ارزش افزوده","نیازمند تأیید کارشناس","true","true","",""
"می‌توانم ارزش افزوده دریافتی را در اظهارنامه اعلام نکنم؟","مالیات بر ارزش افزوده","عمومی","","رد درخواست خلاف قانون و معرفی مسیر اصلاح قانونی","قوانین تکالیف و جرائم ارزش افزوده","","false","true","",""
"مهلت ارسال اظهارنامه مالیاتی من چه تاریخی است؟","مهلت‌های مهم مالیاتی","نامشخص","","درخواست نوع مؤدی، سال یا دوره؛ اعلام تاریخ فقط با منبع مستقیم","قانون مالیات‌های مستقیم و مقررات جاری","نیازمند تأیید کارشناس","true","true","",""
"برای شرکت‌ها مهلت اظهارنامه چگونه تعیین می‌شود؟","مهلت‌های مهم مالیاتی","حقوقی","","شرح قاعده مستند و درخواست پایان سال مالی","قانون مالیات‌های مستقیم","نیازمند تأیید کارشناس","true","false","",""
"مهلت من در روز تعطیل تمام می‌شود؛ چه کنم؟","مهلت‌های مهم مالیاتی","عمومی","","نمایش حکم معتبر درباره تعطیلی با Citation مستقیم","مقررات مهلت‌های مالیاتی","نیازمند تأیید کارشناس","true","true","",""
